yo,en
Ẹgbẹ́ẹ́ẹdógún òṣìṣẹ́ elétò ìlera ni a ti bupá fún ní ìlú náà nìkan.,Fifteen health workers have been attacked in the city alone.
Ẹgbẹ́ àwọn Òṣìṣẹ́ Oníṣègùn Òyìnbó orílẹ̀-èdè Nàìjíríà dá àwọn Ìpínlẹ̀ lẹ́bi.,The Nigerian Association of Medical Practitioners condemned the States.
Wọ́n ní awọ̀n lóni ẹ̀bi fún ipò àìdára ètò ìlera abẹ́lé.,Today they are blamed for the poor state of the domestic health system.
Wọ́n ti bẹnu àtẹ́ lu bí gómìnà ìpínlẹ̀ ṣe wó ilé ìwòsàn abẹ́lé.,They have protested as the governor of the state demolished the hospital.
Ààrẹ ẹgbẹ́ náà ló bá àwọn akọ̀ròyìn nílùú u Àbújá sọ̀rọ̀.,The party president spoke to journalists in Abuja.
Ó ní àwọn gómìnà Ìpínlẹ̀ lórílẹ̀-èdè Nàìjíríà kò kọbiara sí ilé-ìwòsàn abẹ́lé.,He said the state governors in Nigeria are not paying attention to the local hospital.
Òun ló fà á tí àwọn ilé-ìwòsàn náà ṣe dẹnu kọlẹ̀.,He is the one who caused the hospitals to collapse.
Ó sọ pé àwọn ìjọba ìpínlẹ̀ ti pa ilé ìwòsàn abẹ́lé e àwọn ìpínlẹ̀ náà tì.,He said that the state governments have abandoned the local hospitals in the states.
Wọ́n ti jẹ́ kí ó ní ìfàsẹ́yìn tí ó pọ̀.,They have allowed him to have a lot of backsliding.
Ìkáwọ́ àwọn ìjọba ìpínlẹ̀ ni àwọn ilé ìwòsàn abẹ́lé wà.,Local hospitals are under the control of state governments.
Àkàtà a wọn ni àwọn ilé ìwòsàn gbogbó wà.,There are many hospitals everywhere.
Yóò sí ìjíròrò pẹ̀lú ìjọba ìpínlẹ̀ láti wá ojútùú sí ipò o adójútini náà.,There will be a discussion with the state government to find a solution to the administrator's situation.
Ó sọ pé ẹgbẹ́ náà ti jára mo àgbàwí.,He said that the group has matured.
A nírètí láti lọ sí Àpérò Àwọn Gómìnà nígbà mìíràn tí wọ́n bá ní ìpàdé.,We hope to attend the Governors Conference next time they have a meeting.
A fẹ́ ṣíjú wọn sí àwọn ohun tí ó kan gbọ̀ngbọ̀n.,We want to open their eyes to things that are relevant.
Ètò ìlera abẹ́lé jẹ́ ọ̀kan nínú àtúnṣe ètò ìlera ní orílẹ̀-èdè.,The domestic health plan is one of the reforms of the health system in the country.
Ọ̀gbẹ́ni náà sọ pé kí Ìjọba Àpapọ̀ ó wá nǹkan ṣe sí ti ìwàgbẹ ọpọlọ.,The man said that the Federal Government should do something about mental health.
A ti ṣàkíyèsí wí pé ìjọba kò ṣe dáadáa nínú ẹ̀ka ìlera.,We have noticed that the government is not doing well in the health sector.
Ẹgbẹ́ náà ti gbé ìgbésẹ̀ láti gbárùkù ti Ètò o Mádàánilófò Àwùjọ.,The group has taken steps to discredit the Social Security Scheme.
Ó sọ pé lára èyí jẹ́ àwọn ìgbésẹ̀ láti ṣe ìgbàpadà a ẹ̀ka ìlera.,He said that among these are measures to restore the health sector.
Ó sọ pé àjọ náà yóò ṣe àtìlẹ́yìn fún àwọn ìpínlẹ̀.,He said that the organization will support the states.
Àwọn yìí yóò jẹ́ àwọn ìpínlẹ̀ tí wọ́n ń ṣe àgbékalẹ̀ ètò o mádàánilófò ìlera ti wọn.,These will be the states that are developing their own health care system.
Wọ́n rọ̀ wọ́n láti béèrè fún ìtọ́nà lọ́wọ́ àjọ náà ní ọ̀nà tí ó yẹ.,They were urged to ask for guidance from the organization in the appropriate manner.
Nàìjíríà tún ìpinnu rẹ̀ sọ láti ṣe ìgbélárugẹ ẹ̀tọ́ ọmọnìyàn,Nigeria reiterates its commitment to promote human rights
Ìjọba orílẹ̀-èdè Nàìjíríà ti ní òun kò ní fi àyè gba lílo ìwà ìjìyà a ìpalára.,The Nigerian government has said that it will not allow the use of torture and injury.
Kò sì ní sí ìfìyàjẹ́ ẹni tí ó fi ẹ̀sùn kàn mọ́.,And there will be no punishment for the one who accuses.
Agbẹjẹ́rò o Àgbà fún Orílẹ̀-èdè àti Akọ̀wé Àgbà ní ilé–iṣẹ́ Ètò Ìdájọ́ ló sọ̀rọ̀ yìí.,The Attorney General for the Nation and Secretary General at the Ministry of Justice said this.
Ó sọ̀rọ̀ náà ní ibi ayẹyẹ láti ṣàmì sí àjọ̀dún-un Àjọ Ìṣọ̀kan Àgbáyé e ti ọdún yìí.,He spoke at a ceremony to mark this year's United Nations anniversary.
Èyí jẹ́ ní àtìlẹ́yìn fún àwọn tí ó ń jìyà ìpalára.,This is in support of those who are suffering from injuries.
Ó sọ wípé ètò òmìnira ìjìyà ìpalára kìí ṣe ohun ìdúnàádúrà.,He said that the freedom of punishment system is not a bargaining chip.
Ó jẹ́ onímọ̀ egbò inú ọpọlọ.,He is a neurologist.
Ó ní ẹgbẹẹgbẹ̀rún awon ènìyàn ń jìyà ara àti egbò-inú ọpọlọ,He said thousands of people are suffering from physical and mental injuries
Àwọn yìí kún ẹbí ati àwọn lẹ́gbẹ́lẹ́gbẹ́ jákèjádò ilẹ̀-ayé.,These include family and friends all over the world.
Ó ní gbogbo ọmọ orílẹ̀-èdè e Nàìjíríà l’ó ní ẹ̀tọ́ sí ìbọ̀wọ̀fún ìyìn ọmọ-ènìyàn.,He said all Nigerians have the right to human dignity.
"Láti ìhín lọ, ẹnikẹ́ni kò gbọdọ̀ fì̀yà jẹ ẹlòmíràn tàbí wu ìwà àìṣènìà.","From now on, no one should be cruel to others or like the behavior of the poor."
Orílẹ̀-èdè e Nàìjíríà jẹ́ ọ̀kan lára orílẹ̀-èdè tí ó tọwọ́bọ ìwé e Àlórí ìjìyà ìpalára.,The country of Nigeria is one of the countries that respects the law of capital punishment.
Orílẹ̀-èdè e Nàìjíríà ka ìjìyà ìpalára léèwọ̀ fún gbogbo ọmọ àti ará ìlú pátá.,Nigeria prohibits corporal punishment for all children and citizens.
Òfi orílẹ̀-èdè e Nàìjíríà ti fún Ilé-Iṣẹ́ ètò ìdájọ́ lágbára.,The Nigerian government has strengthened the judiciary.
Ọ̀gbẹ́ni Àkànní ló ṣójú fún olórí ẹgbẹ́ níbi ayẹyẹ náà.,Mr. Akanni was in charge of the team leader at the ceremony.
Igbákejì Ààrẹ yóò ṣèpàdé pẹ̀lú u akẹgbẹ́ ẹ rẹ̀ tí ó jẹ́ Igbákejì Ààrẹ Orílẹ̀-èdè Amẹ́ríkà.,The Vice President will have a meeting with him who is the Vice President of the United States of America.
Á á sì tuń ṣèpàdé pẹ̀lú u àwọn ènìyàn jàǹkàn-jàǹkàn lorílẹ̀-èdè náà.,And we will also meet with him the people of the country.
Ọ̀jọ̀gbọ́n Yẹmí Ọ̀ṣínbájò yóò kọ́kọ́ ṣe ìpàdé pẹ̀lú ìgbìmọ̀ aláṣẹ.,Professor Yemi Osinbajo will first hold a meeting with the executive committee.
Ìpàdé náà yóò dá lórí ọ̀rọ̀ tó jẹ mọ́ ti ilẹ̀ òkèèrè lọ́jọ́ Ajé.,The meeting will focus on foreign affairs on Monday.
Lẹ́yìn èyí ni ó máa ṣèpàdé pẹ̀lú igbá-kejì Ààrẹ orílẹ̀-èdè Amẹ́ríkà ọjọ́ Ọjọ́rú.,After this he will meet with the vice president of the United States of America on Wednesday.
Igbá kejì Ààrẹ yóò máa bá akẹgbẹ́ ẹ rẹ̀ jíròrò.,"The second time, the President will discuss with his colleagues."
"Bákan náà, igbákejì Ààrẹ Ọ̀ṣínbájò yóò tún máa sọ̀rọ̀ lórí i ètò ọ̀rọ̀ ajé.","Likewise, the vice president of Osinbajo will also talk about the economy."
Igbákejì Ààrẹ fi ìlú sílẹ̀ ní ọ̀sán ọjọ́ ọ Àbámẹ́ta,The Vice President left the city on the afternoon of the third day
Ọmọkùnrin tọ̀ún ti di Ààrẹ Àpérò Àjọ Ìṣòkan Àgbáyé.,The right boy has become the President of the United Nations Conference.
Aṣojú orílẹ̀-èdè e Nàìjíríà fún Àjọ Ìṣòkan Àgbáyé ti jáwé olúborí.,Nigeria's representative to the United Nations has emerged as the winner.
Yóò jẹ́ Ààrẹ kẹrìnléláàádọ́rin àjọ náà.,He will be the 74th President of the organization.
Òun nìkan ló díje fún ipò yìí tí a sì dìbò yàn-án.,He was the only one who competed for this position and was elected.
Èyí jẹ́nípasẹ̀ ẹ pípa ohùn pọ̀ lásìkò ìpàdé àpérò àjọ àgbáyé,This is because of your raising your voice during the meeting of the international conference
"Ìpàdé náà wáyé lọ́jọ́ Ìṣẹ́gun, ọjọ́ kẹrin oṣù kẹfà.","The meeting took place on Victory Day, the fourth day of June."
Òun ni yóò jẹ́ ọmọ Nàìjíríà kejì tí yóò di ipò náà mú.,He will be the second Nigerian to hold the position.
Ọmọ orílẹ̀-èdè e Nàìjíríà tí kọ́kọ́ di ipò náà mú rí fún bíi ọdún mẹ́wàá.,The Nigerian national who first held the position for about 10 years.
Oṣù kẹsàn-án ọdún mẹ́ta sẹ́yìn ni ó bẹ̀rẹ̀ iṣẹ́.,He started working on the ninth month of three years ago.
Awon ọmọ orílẹ̀-èdè e Nàìjíríà ní ẹ̀yìn odi ń ṣalágbàáwí fún ìdìbò,Nigerians abroad are campaigning for elections
Wọ́n ti rọ àwọn ọmọ orílẹ̀-èdè yìí tó ń gbé ní ìlú òkèèrè láti tẹ̀lé òfin.,They have urged the citizens of this country who live in foreign cities to follow the law.
Yóò gbà wọ́n láàyè láti máa dìbò lásìkò ètò ìdìbò níbikíbi lẹ́yìn odi.,It will allow them to vote during the election process anywhere behind the wall.
"Àbíkẹ́ Dábírí tún jẹ́ Olùdámọ̀ràn pàtàkì fún Ààrẹ orílẹ̀-èdè e Nàìjíríà,","Abike Dabiri is also a Special Adviser to the President of Nigeria,"
Alága Àjọ Àwọn Ọmọ Orílẹ̀-èdè Nàìjíríà nílẹ̀ Òkèèrè ló pe ìpè yìí.,The Chairman of the Association of Nigerians Abroad made this call.
"Ìpàdé náà wáyé ní ìlú Àbújá, orílẹ̀-èdè e Nàìjíríà.","The meeting took place in Abuja, Nigeria."
Èyí jẹ́ lásìkò àpèjẹ tí wọ́n ṣe fún àwọn aṣojú u ọmọ ẹgbẹ́ ẹ òṣèlú oníìgbálẹ̀.,This was during a party held for the representatives of the central political party.
A fẹ́ wá darapọ̀ mọ́ ètò ìfinijoyè Ààrẹ orílẹ̀-èdè e Nàìjíríà .,We want to join the program of the President of Nigeria.
Ẹ ṣeun púpọ̀ tí ẹ darí wá sílé ní òní.,Thank you very much for leading us home today.
Gbogbo yín ni ẹ ti ṣe iṣẹ́ takuntakun fún àṣeyọrí i rẹ̀.,All of you have worked hard for its success.
"Pẹ̀lú oore-ọ̀fẹ́ Ọlọ́run àti ìpinnu, Ààrẹ bá a yín sọ̀rọ̀ lánàá.","With God's grace and determination, the President spoke to you yesterday."
Kò ní já gbogbo yín kulẹ̀ pẹ̀lú ògo Olúwa.,He will not fail you all with the glory of the Lord.
Oun tí mo lérò pé ìlépa tí ó ṣe pàtàkì jùlọ fún wa ni àṣeyege ìdìbò,I think the most important goal for us is to win the election
Gbogbo wa ni a ní láti ṣiṣẹ́ pọ̀ lati ṣe àṣeyọrí.,We all have to work together to be successful.
Ẹ jẹ́ kí á gbìyànjú láti lọ sí Ìgbìmọ̀-aṣòfin.,Let us try to go to the Parliament.
"Mo fẹ́ rọ̀ gbogbo yín pé bí Àpèjọ kẹsàn-án ṣe ń wọlé, ẹ jẹ́ kí á bẹ̀rẹ̀","I want to urge all of you that as the 9th Congress enters, let us begin"
Kí á ríi dájú wí pé àwọn ọmọ orílẹ̀-èdè Nàìjíríà ní ẹ̀yìn odi láti lè dìbò.,Let's make sure that Nigerians have a back wall to vote.
Ẹ jẹ́ ká sì gbìyànjú láti kó sí wọn lẹ́mìí.,Let us try to bring them to life.
"Nítorí náà, ó ṣe kókó kí a fọwọ́sowọ́pọ̀.","Therefore, it is important that we cooperate."
"Ẹ fọwọ́sowọ́pọ̀ pẹ̀lú Àjọ náà, kí èyí ba leè di mímúṣẹ.","Collaborate with the Organization, so that this can become a reality."
"Ní báyìí, ẹ ti ní Àjọ Ọmọ orílẹ̀-èdè nílẹ̀ òkèèrè.","Now, you have a National Organization abroad."
Mi kò rí ìdí kan tí àwọn Ọmọ orílẹ̀-èdè e Nàìjíríà kò leè dìbò.,I do not see any reason why Nigerians cannot vote.
Àwọn orílẹ̀-èdè kéréjekéréje ti ṣe irú ẹ̀ rí,Fewer countries have done this before
Ó tẹnumọ pé yóò jẹ́ ogun tí ó ṣòro láti jà.,He emphasized that it will be a difficult battle to fight.
A gbọdọ̀ ṣe àrídájú wípé ìdìbò lẹ́yìn odi í di àmúṣẹ.,We must ensure that the voting behind the wall becomes effective.
Ààrẹ orílẹ̀-èdè e Nàìjíríà ti fi Àbújá sílẹ̀.,The President of Nigeria has left Abuja.
Ó ti lọ fún Ìpàdé àpérò Ẹgbẹ́ ẹ Àjùmọ̀ṣe àwọn Ẹlẹ́sìn-in Mùsùlùmí.,He had gone to the Conference of the Association of Muslims.
Ìpàdé àpérò gbogbogboò ẹlẹ́ẹ̀kẹrìnlá irú u rẹ̀ yóò wáyé ní oṣù karùn-ún.,The fourteenth general conference meeting of its kind will be held in the month of May.
Ọba yìí yóò gbàlejò àwọn Olóríi orílẹ̀-èdè tí wọn jẹ́ ọmọ ẹgbẹ́ àjọ náà.,This King will host the Heads of State who are members of the organization.
Ilé-iṣẹ́ Akọ̀wé ẹgbẹ́ náà ti fi ọ̀rọ̀ léde.,The party's Secretariat has issued a statement.
Àkórí ìpàdé àpérò naa ni: Ìfọwọ́sọwọ́pọ̀ fún ọjọ́-ọ̀la.,The theme of the conference is: Cooperation for the future.
Èyí ni láti mú ìdàgbàsókè bá ìṣọ̀kan àwọn ẹlẹ́ṣìn-in Mùsùlùmí lágbàáyé.,This is to promote the unity of the Muslim world.
Ààrẹ orílẹ̀-èdè Nàìjíríà yóò sọ̀rọ̀ níbi ìpàdé náà.,The President of Nigeria will address the meeting.
Yóò mẹ́nuba ìdí tí àwọn orílẹ̀-èdè tí wọn jẹ́ ọmọ ẹgbẹ́ àjọ náà fi gbọdọ̀ fìmọ̀-ṣọ̀kan.,It will mention why the countries that are members of the organization must cooperate.
Wọ́n ní láti ṣiṣẹ́ papọ̀ láti gbógun ti àwọn ìpèníjà.,They have to work together to overcome the challenges.
Ara àwọn wọ̀nyí ni ìwà a ìdúnkòkò-mọ́ni àti làásìgbò àwọn alákatakítí.,These are the characteristics of the pioneers.
Nàìjíríà rawọ́ ẹ̀bẹ̀ ẹ ìrànwọ́ sí ilẹ̀ Amẹ́ríkà láti kojú u ìṣòro àìríṣẹ́ṣe.,Nigeria appealed for help to the United States to deal with the problem of unemployment.
Orílẹ̀-èdè e Nàìjíríà ń béèrè fún ìrànlọ́wọ́ láti ọ̀dọ̀ orílẹ̀-èdè Ìpínlẹ̀ Ìṣọ̀kan Amẹ́ríkà.,Nigeria is asking for help from the United States of America.
Wọ́n fẹ́ gbógun ti ìṣòro àìríṣẹ́ lorílẹ̀-èdè náà.,They want to fight the problem of unemployment in the country.
Akọ̀wé Àgbà fún Àjọ tó-ń-rí-sí ètò iṣẹ́ sọ pé orílẹ̀-èdè e Nàìjíríà nílò ìrànlọ́wọ́.,The Secretary General of the Organization for Economic Co-operation and Development said that Nigeria needs help.
Wọ́n nílò ìrànlọ́wọ́ láti ọ̀dọ̀ Amẹ́ríkà láti dojú ìjà kọ ìpèníjà a àìríṣé.,They need help from America to fight against the challenge of unemployment.
Èyí jẹ́ lásìkò tó gba ikọ̀ Ẹ̀ka ilé-iṣẹ́ ẹ ètò o iṣẹ́ láti orílẹ̀-èdè Amẹ́ríkà.,This was at the time when he received the message from the United States of America.
Ìrànlọ́wọ́ láti ọ̀dọ̀ Amẹ́ríkà yóò ṣe ànfààní ribiribi fún orílẹ̀-èdè e Nàìjíríà.,Aid from the United States will greatly benefit Nigeria.
Ara èyí ni ìmúdára ìpèsè iṣẹ́ àti ètò  ààbò.,Part of this is improving the provision of services and the security system.
Ààrẹ ti tẹ̀síwájú nínú ètò ìlànà a ẹ̀sìn ní ìlú ìbí i Ànọ́bì Òjíṣẹ́ ńlá.,The President has continued the religious policy in the hometown of the great Prophet Anobi.
Ààrẹ orílẹ̀-èdè e Nàìjíríà dé sí Ilẹ̀-ọba.,The President of Nigeria arrives at the Kingdom.
Ibẹ̀ ni ó ti bẹ̀rẹ̀ ìgbésẹ̀ tí ó ṣíwájú iṣẹ́ gbígbàdúrà àwọn mùsùlùmí ní ìlú náà.,There he started the steps that preceded the work of praying the Muslims in the city.
"Lẹ́yìn àdúrà àṣálẹ́ ní Mọ́sálásí i Òjíṣẹ́ ńlá, a mú Ààrẹ lọ sí ibojì òjíṣẹ́ ńlá.","After the desert prayer at the Great Minister's Mosque, the President was taken to the grave of the great minister."
"Ibẹ̀ ni ó ti gbàdúrà fún orílẹ̀-èdè, ẹbí i rẹ̀ àti òun fúnra rẹ̀.","There he prayed for the nation, his family and himself."
Gómìnà a agbègbè Mọ́sálásí ńlá àwọn mùsùlùmí ni ó kí Ààrẹ káàbọ̀ sí ìlú náà.,The governor of the large Muslim mosque area welcomed the President to the city.
Lára àwọn t’ó wá láti tẹ́wọ́gba Ààrẹ ni Aṣojú orílẹ̀ èdè e Nàìjíríà ní ìlú-ọba náà.,Among those who came to welcome the President was the Nigerian Ambassador in the capital.
Ọ̀gá àgbà pátá fún Àjọ Ọ̀tẹlẹ̀múyẹ́ náà kò kẹ́yìn.,The head of the National Intelligence Service is not the last.
"Lẹ́yìn ìgbàlejò, lọ́gán ni ó bẹ̀rẹ̀ iṣẹ́ ìrìnàjò o ilẹ̀-mímọ́ kékeré ní àṣálẹ́ ọjọ́ ẹtì.","After the rescue, he immediately started a small journey to the holy land in the desert."
Ààrẹ orílẹ̀-èdè e Nàìjíríà ti gba ìwé ìpè láti ọ̀dọ̀ Ọba ti ìlú ńlá náà.,The President of Nigeria has received a letter of invitation from the King of the city.
Kó wá ṣe àwọn ìlànà-ẹ̀sìn ti ìrìnàjò ilẹ̀-mímọ́ kékeré ní orílẹ̀-èdè yìí.,He then made the religious rules of the pilgrimage to the small holy land in this country.
Lára àwọn ti yóò tẹ̀lé Ààrẹ lọ sí orílẹ̀-èdè yìí ni àwọn olùrànlọ́wọ́ ọ rẹ̀ pàtàkì.,Among those who will accompany the President to this country are his important aides.
"Ààrẹ yóò gúnlẹ̀ sí orílẹ̀-èdè náà ní ọjọ́ Ọjọ́bọ̀, ọjọ́ kẹrìndínlógún, oṣù Karùn-ún.","The President will arrive in the country on Wednesday, the 16th of May."
Orílẹ̀-èdè e Nàìjíríà yóò fọwọ́sowọ́pọ̀ pẹ̀lú àwọn orílẹ̀-èdè mìíràn ní ilẹ̀ adúláwọ̀.,Nigeria will cooperate with other countries in the land of democracy.
Ìbáṣe yìí yóò mú ètò ààbò o agbègbè-ságbègbè gbópọn sí i.,This action will strengthen the regional security system.
Orílẹ̀-èdè e Nàìjíríà yóò fọwọ́sowọ́pọ̀ láti mú kí ètò àlàáfíà ó ga sí i.,The country of Nigeria will cooperate to make the peace process higher.
Wọn ó fọwọ́sowọ́pọ̀ fún ìdúróṣinṣin àti ètò ààbò ni ẹ̀kùn ilẹ̀-Adúláwọ̀.,They will cooperate for stability and security in the region of Adulalawo.
Ṣé yóò jẹ́ ní Ìwọ̀-oòrùn àti agbègbè Àárín-gbùngbùn ilẹ̀-Adúláwọ̀?,Will it be in the West and Central areas of the country?
Orílẹ̀-èdè méjèèjì náà jọ tọwọ́bọ ìwé àdéhùn lẹ́yìn ìpàdé kan ni ọjọ́ Ọjọ́rú.,The two countries signed the agreement after a meeting on Wednesday.
Àwọn mínísítà fún ọ̀rọ ilẹ̀-òkèèrè ní ìlú méjèèjì ni wọ́n jọ tọwọ́bọ ìwé àdéhùn náà.,The ministers of foreign affairs in both cities signed the agreement.
"Wọn á jọ foríkorí lórí ọ̀nà tí wọn yóò gbà mú ètò ìṣèlú, àwùjọ àti ọrọ̀-ajé jinlẹ̀.","They will focus on the way they will deepen the political, social and economic system."
Wọn ó tún jíròrò lóríi àjọṣepọ̀ àṣà ní orílẹ̀-èdè méjèèjì.,They will also discuss cultural relations in both countries.
Àwọn orílẹ̀-èdè méjèèjì ti gba àwọn wàhálà.,Both countries have faced difficulties.
Wọ́n ti dojúkọ àwọn ìpèníjà ìyípadà ojú-ọjọ́ àti ìwà ìpànìyàn.,They have faced the challenges of climate change and murder.
Wọ́n pinnu lóríi kókó àjọṣepọ̀ ìgbésẹ̀ láti gbógunti gbogbo ìrókẹ́kẹ́ náà.,They decided on the point of joint action to fight all the violence.
Àwọn orílẹ̀-èdè méjèèjì náà yóò máa jíròrò lóríi pípèsè ètò o àlàáfíà.,The two countries will discuss on providing a peace plan.
