yo,en
"Mo mu bíà, ìpápápánu díẹ̀, àti ẹ̀bà gbígbóná pẹ̀lú u gbẹ̀gìrì.","I drank beer, some snacks, and hot coffee with him."
"Nígbà tí mo kúrò nísọ̀ ọ sọ́ọ̀bù, mo rò pé kí n ra ìpanu diẹ̀ àti ìgò ẹmu ù kan","When I left the supermarket, I thought I'd buy some snacks and a bottle of wine."
"Èyí jẹ́ lẹ́yìn-in aago mẹ́jọ, nítorínáà àwọn bíi ìṣọ̀ kékèké ti ṣe tán","This is after eight o'clock, so the little guards are done."
"Mo sáré padà sínú ilé ìtura, mo yí aṣọ ọ̀ mi padà, mo sì lọ sísàlẹ̀ láti lọ wẹ̀.","I ran back into the hotel, changed my clothes, and went downstairs to take a shower."
Mo kíyèsí jákujàku ilé náà àti àwọn nǹkan inú u rẹ̀,I looked closely at the house and its contents
Omi ìwẹ̀ gbígbóná náà jẹ́ àwọ̀ ewé tó nípọn,The hot bath water was a thick green
Mo ti farabalẹ̀ gbádùn-un ìwẹ̀ mi ní púpọ̀ ìbàlẹ̀ọkàn,I have thoroughly enjoyed my bath with great care
"Nígbà tó ṣe díẹ̀, orí mi ń fúyẹ́ díẹ̀, mo sì jáde láti lọ gbatẹ́gùn níta.","When he did a little, my head was a little lighter, and I went out to go outside."
"Ìgbà tó yá, mo padà sínúu balùwẹ̀.","After a while, I went back into the bathroom."
Mo wà nínu omi ìwẹ̀ ní balùwẹ̀ fún ìgbà ìkẹta nígbà tí ìnàkí yìí sílẹ̀kùn.,I was in the shower in the bathroom for the third time when the door opened.
"“Ẹ má bìnú o,” ó sọ lóhùn ilẹ̀pẹ̀pẹ̀.","""Don't be angry,"" he said flatly."
Ó gbà mí lásìkò díẹ̀ láti ríi pé ìnàkí ni.,It took me a while to realize that it was a joke.
Gbogbo omi gbígbóná yẹn ti mú ojú ù mi pòòyì,All that hot water has made my eyes watery
Ọpọlọ mi fọ́nká bí mo ṣe ń ranjú láti inú híhó omi ìwẹ̀.,My brain went blank as I stared out of the shower.
Ó tún àwọn garawa kékeré tó wà káàkiri nílẹ̀ tò.,He rearranged the small buckets around the ground.
Ó fi tẹ̀mómítà kan sínú omi ìwẹ̀ láti wo bó ṣe gbóná tó.,He put a thermometer in the bath water to see how hot it was.
Kò dàbíi pé ara à mi ló ti jáde wá,It's not like I came out myself
Kíni ìnàkí ń ṣe níbi? Kílósìdé tó fi ń sọ èdè èèyàn?,What is he doing there? Why does he speak human language?
“Ṣé kí n báa yín yún ẹ̀yìn-in yín?” Ìnàkí náà bèèrè,"""Should I rub your back with you?"" asked the hyena"
Ṣùgbọ́n kò sí nǹkankan tó ṣe kàyéfì nípa ohùn-un rẹ̀,But there was nothing surprising about his voice
"Tí o bá dijú tí o sì tẹ́tí, wàá rò pé ènìyàn lásán kan ló ń sọ̀rọ̀ ni.","If you are serious and listen, you will think that it is an ordinary person who is talking."
Kìí ṣáà ṣe pé mo jókòó níbẹ̀ pẹ̀lú èrò pé ẹnìkan á wá bá mi yún ẹ̀yìn mi.,It is not that I sit there with the thought that someone will come and rub my back.
"Sùgbọ́n mo bẹ̀rù pé tí mo bá kọ̀ọ́, ó le rò pé mo lòdì sí òhun ni","But I'm afraid that if I learn, he might think I'm against something"
"Mo dìde ní pẹ̀lẹ́kùtù kúrò nínú u balùwẹ̀, mo gbé ara à mi sílẹ̀ lórí i pákó kékeré","I got up slowly from the bathroom, I put myself down on the small board"
"Ṣèbí bó ṣe máa ń rí fún ìnàkí nìyí, nítorínáà, eléyìí kò yà mí lẹ́nu.","This is how it usually is for people, so this does not surprise me."
"Ó mú aṣọ ìnura kékeré kan wá, ó fi ọṣẹ síi, ó sì bá mi fọ ara mi pẹ̀lú ọwọ́ tó mọ́ṣẹ.","He brought a small towel, put soap on it, and washed my body with clean hands."
"Òtútù ti ń mú lẹ́nu ọjọ́ mẹ́ta yìí, àbí bẹ́ẹ̀ kọ́,” ìnàkí yìí sọ síta.","It's been cold these three days, hasn't it,"" said the old man."
Wọ́n á wá láti fi ọkọ́ gbá yìnyín láti orí àwọn òrùlé.,They will come to shovel snow from the roofs.
"Ìdákẹ́jẹ́ díẹ wà, ni mo bá wọlé. “Ìyẹn ni wípé ẹ lè sọ èdè ènìyàn?”","There was a little silence, when I entered. ""Does that mean you can speak human language?"""
Ó ní láti jẹ́ pé wọ́n máa ń bèèrè e èyí lọ́wọ́ ẹ̀ lọ́pọ̀lọpọ̀ ìgbà.,It must be that they ask you this many times.
Ìtàkùrọ̀sọ wa dúró díẹ̀ báyìí. Ìnàkí náà tẹ̀síwájú láti jẹun,Our conversation stopped now. The antelope continued to eat
Báwo ni èyí ṣe ṣẹlẹ̀? Ìnàkí nìyí nítorí ọlọ́run. Ọ̀bọ lásán-lásàn.,How did this happen? This is a joke for God's sake. Just a monkey.
"“A tiẹ̀ fẹ́ẹ̀ jẹ́ alábàágbélé nìyẹn,” ìnàkí náà sọ lóhùn ọ̀rẹ́.","""We want to be a host,"" said the friend."
Nítorí èyí lèmi náà fi nífẹ̀ẹ́ àwọn orin yẹn.,That's why I love those songs.
Mo máa ń gbọ́ọ ní gbogbo ìgbà nígbà tí mo bá wà ní kékeré.,I used to listen to it all the time when I was little.
A lè wípé mo gba gbogbo oun tí ó ń sọ gbọ́ láì tiẹ̀ mọ̀.”,"We can say that I believed everything he said without even realizing it."""
Bóyá nítorí ìyẹn ló ṣe kọ́ mi dáadáa ní gbogbo ìgbà tó bá ní àsìkò,Maybe that's why he taught me so well whenever he had time
"Ó jẹ́ onísùúrù, ènìyàn tó nífẹ̀ẹ́ ètò àti ọgbọgba lórí ohunkóhun.","He is patient, a person who loves planning and strategy over anything."
"Ìyàwó ẹ̀ jẹ ẹni tútù, dídùn, tó máa ń yọ́nú sí mi ní gbogbo ìgbà.","His wife is a sweet, sweet person who is always nice to me."
"Ìnàkí náà paríi fífọ ẹ̀yìn mi nígbà tó yá. “Ẹ kúu sùúrù,” ó sọ, ó sì tẹríba.","The snake then finished rubbing my back. ""Be patient,"" he said, and bowed."
Ojú àánú ni wọ́n ṣe fún mi láti máa ṣiṣẹ́ níbí.,It was a pity for me to work here.
Àwọn ilé ìtura ńlá ńlá ojúlówó ò lè láíláí fún ìnàkí níṣẹ́.,The real big hotels can never employ the poor.
"Nítoríi pé mo jẹ́ ìnàkí, owó kékeré ni mo ń gbà.","Because I am a poor person, I earn little money."
Wọn ò sì jẹ́ kí n ṣiṣẹ́ àfi níbi tí ẹnìkankan ò ti ní rí mi.,And they didn't let me work except where no one would see me.
"Màá bá àwọn ènìyàn tún balùwẹ̀ ẹ wọn ṣe, màá nulẹ̀","I will clean the bathroom with people, I will go down"
"Nítorípé kò sí ẹni tí ìnàkí á gbé tíì fún tí kò ní yàá lẹ́nu, àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.","Because there is no one who will be served tea that will not be surprised, and so on."
"Ṣùgbọ́n o, ẹẹ́ ti gba inú oríṣiríṣi nǹkan kọjá kẹ́ẹ tó tẹ̀dó síbí o?","But, have you been through many things before you settled here?"
"Mo dúró díẹ̀, mo wá bèèrè lọ́wọ́ ẹ̀.","I waited a bit, then I asked him."
"Tí ó bá le jù, ǹjẹ́ ẹ lè sọ fún mi díẹ̀ nípa ìpínlẹ̀ ẹ yín?","If it is too difficult, can you tell me a little about your state?"
"Bẹ́ẹ̀ni, kò sí ìyọnu. Ó lè má jọ yín lójú púpọ̀ tó bẹ́ẹ ṣe rò.","Yes, there is no harm. It may not seem like much to you."
Inú mi á dùn tí ẹ bá lè mú ọtí i bíà díẹ̀ wá nígbà yẹn.,I would be happy if you could bring me some beer at that time.
"Ní gbogbo ayé mi, mi ò tíì ríi kí ìnàkí rẹ́rìín rí.","In all my life, I have never seen a donkey laugh."
"Ṣùgbọ́n mo rò pé àwọn ìnàkí máa ń rẹ́rìín, tàbí sùnkún.","But I think that people laugh, or cry."
"Rárá, mi ò fi bẹ́ẹ̀ ní. Ṣùgbọ́n gbogbo èèyàn ló ń pè mí ní Ìnàkí","No, I didn't say that. But everyone calls me Inaki"
"Ìnàkí náà ṣí ilẹ̀kùn onigíláàsì sí ibi balùwẹ̀, ó yípadà",The snake opened the glass door to the bathroom and turned around
Irú àwọn oun tí a máa ń rí jẹ nílé ọtí.,The kind of people we see in pubs.
"Kò sí tábìlì kankan nínú yàrá yìí, nítorínáà a jókòó lẹ́gbẹ̀ẹ́ ara wa.","There was no table in this room, so we sat next to each other."
"Ká má parọ́, ó ṣe ni ní kàyéfì bí mo ṣe wà lẹ́gbẹ̀ẹ́ ìnàkí tí a jọ ń pín bíà mu.","Let's not lie, he wondered why I was next to the guy who shared a beer."
Kò sí oun tó dáa tó kí èèyàn mu bíà lẹ́yìn iṣẹ́.,No one is good enough to drink beer after work.
"Ṣùgbọ́n torí mo jẹ́ ìnàkí, àǹfàní láti mu bíà báyìí kìí sábà á yọjú rárá.","But because I'm a drunkard, the opportunity to drink beer doesn't come up very often."
"Yàrá kan wà, bíi àjà, níbi tí wọ́n máa ń jẹ́ kí n sùn sí.","There was a room, like the attic, where they used to let me sleep."
"Nítorí náà, ó nira púpọ̀ láti farabalẹ̀ sinmi níbẹ̀, ṣùgbọ́n ìnàkí ni mí","Therefore, it was very difficult to relax there, but I was very tired"
"Ìnàkí náà ti parí ife bíà àkọ́kọ́ ẹ̀, nítorínáà, mo bu èmíì fún-un.","The pig had finished his first cup of beer, so I gave him a breather."
Àdúgbò o gúsù tó lókìkí fún pápá ìṣeré ni àwọn ìnàkí wà,The southern area is famous for its sports fields
"Mo kọ́kọ́ rò pé mo lè gbé lálàáfíà níbẹ̀ ni, ṣùgbọ́n bẹ́ẹ̀ kọ́ ló rí.","At first I thought that I could live in peace there, but that was not the case."
"Ẹ má ṣì mí gbọ́, ṣùgbọ́n nítorípé ilé ọmọ ènìyàn la ti wò mí dàgbà ni.","Don't misunderstand me, but it is because we have watched me grow up in a human house."
Mi ò lè fi èrò mi hàn fún wọn dáadáa.,I can't express my thoughts to them properly.
"A ò jọra wa púpọ̀ rárá, ìjíròrò kò sì rọrùn.","We are not very similar at all, and conversation is not easy."
Àwọn obìnrin ìnàkí máa ń rẹ́rìín tán bá wò mí.,The women always laugh when they look at me.
Wọ́n rí bí mo ṣe ń hùwà gẹ́gẹ́ bí ohun tó ń panilẹ́rìín.,They saw how I behaved as something funny.
"Èyí mú kó le fún mi láti gbé pẹ̀lú u wọn, nítorínáà mo gbọ̀nà a tèmi lọ.","This made it difficult for me to live with them, so I sent mine away."
"Kò sẹ́ni tó dáàbò bò mí, mo ní láti wá oúnjẹ lọ fúnra à mi kí n lè ráyé gbé.","There is no one to protect me, I have to find food by myself in order to survive."
Ṣùgbọ́n èyí tó burú jù ni ti àìrẹ́ni bá sọ̀rọ̀pọ̀.,But the worst thing is if you don't want to talk.
"Mi ò lè bá àwọn ìnàkí sọ̀rọ̀, tàbí àwọn ènìyàn.","I can't talk to ants, or people."
Dídánìkàngbé báyìí ló máa ń banilọ́kànjẹ́ gidi,Being a monk like this is really frustrating
Ṣùgbọ́n èyí kò túmọ̀ sí pé mo lè bẹ̀rẹ̀ ìjíròrò pẹ̀lú ẹnikẹ́ni tí mo bá pàdé lójú lọ́nà.,But this does not mean that I can start a conversation with anyone I meet face to face.
"Tí mo bá ṣe eléyìí, gbogbo wàhálá ló máa dá sílẹ̀.","If I do this, all the problems will be created."
"Àtubọ̀tán ẹ̀ ni pé mo wá wà láàárin agbedeméjì, ìnàkí táa kọ̀sílẹ̀, àti ènìyàn.","The result is that I came to be in the middle, the abandoned man, and a man."
"Mo ṣọ́ ojú ẹ̀ wò, ṣùgbọ́n nítorípé ó ti pupa tẹ́lẹ̀, mi ò ríi pé ó tún ti pupa síi.","I looked at his eyes, but because they were already red, I didn't see that they were redder."
Mo níran pé ìnàkí yìí ní ìjánu nínú u mímu ọtí ẹ̀.,I see that this bitch has a leash in her drinking.
Àbí èèyàn kìí mọ̀ láti ojú u wọn tí wọ́n bá ti yó ni?,Don't people know from their eyes when they are drunk?
Nǹkan mìíràn tó máa ń bà mí nínú jẹ́ ni ìbálòpọ̀ pẹ̀lú abo.,Another thing that makes me sad is sex with women.
Ara mi kìí dìde rárá fún àwọn abo ìnàkí.,I don't stand up for women at all.
Mo ní orísiríṣìí àǹfàní láti wà pẹ̀lú u wọn ṣùgbọ́n kò bá mi lára mu rárá.,I had various opportunities to be with them but it didn't suit me at all.
Kí n tó bojú wòkè-wolẹ̀ mo ríi pé obìnrin ènìyàn nìkan ni mo lè nífẹ̀ẹ́.,Before I looked down I realized that I can only love a human woman.
"Mo dákẹ́ jẹ́, mo sì mu ìgò o bíà mi tán.",I kept quiet and finished my bottle of beer.
"Àwọn ohun yìí ló máa ṣẹlẹ̀ lọ́jọ́ tó máa kúrò nílé pátápátá,","These are the things that will happen on the day he leaves home for good,"
"Ní gbogbo òrùlé e inú ìlú yìí, sánmọ̀ á sì wà ní mímọ́ àti búlù.",Every roof in this city will be clean and blue.
"Mo ṣí àpò ìpápánu yẹn, mo sì bùú sọ́wọ́.",I opened that snack bag and opened my hand.
Ó dàbíi pé ìyẹn lè dá wàhálà púpọ̀ sílẹ̀ o.,It seems like that can cause a lot of trouble.
"Tórí pé mo jẹ́ ìnàkí, kò sí bí mo ṣe le rò pé kí abo ènìyàn máa kọbiara sí ìfẹ́ mi.","Because I am a virgin, there is no way I can think that a woman will ignore my love."
"Mo dúró dèé láti sọ̀rọ̀ síi. Ìnàkí náà fọwọ́ pa etí ẹ̀, ó sì ń tẹ̀síwájú.",I waited to speak more. The boar touched his ear and kept going.
"Nítoríi gbogbo èyí, mo ní láti wá ọ̀nà mìíràn láti gbé gbogbo ìfẹ́ inú mi yìí jáde.","Because of all this, I had to find another way to express all my passion."
Ṣùgbọ́n mo bẹ̀rẹ̀ sí ní jí orúkọ àwọn obìnrin tí mo nífẹ̀ẹ́ ẹ wọn.,But I started to learn the names of the women I loved.
Mi ò mọ ìdí ẹ̀ ṣùgbọ́n ó dàbíi pé ẹ̀bùn kan wà tí a bí mi mọ́ tí mo máa ń lò.,I don't know why but it seems like there is a gift I was born with that I use.
"Tó bá wù mí, mo lè jí orúkọ ènìyàn kan kí n múu di tèmi.","If I want, I can steal a person's name and make it my own."
Atẹ́gùn àìmòye kọ lù mí lẹ́ẹ̀kansíi.,The air of ignorance hit me again.
"Ìgbà tẹ́ẹ sọ pé ẹ̀ ń jí orúkọ ènìyàn, ṣé ẹni yẹn á sọ orúkọ ẹ̀ nù pátápátá ni?","When you say that you are stealing a person's name, will that person completely remove your name?"
Rárá. Wọn ò ní sọ orúkọ wọn nù pátápátá.,Never. They will not lose their name completely.
"Oun tí mo máa ń jí ni díẹ̀ lára orúkọ wọn, ẹ̀ka kékeré.","The one I wake up with is some of their names, a small branch."
"Ṣùgbọ́n nígbà tí mo bá ṣe bẹ́ẹ̀, orúkọ náà á di yẹpẹrẹ.","But when I do that, the name will become meaningless."
"Ó dàbíi tí sánmọ̀ bá dáàbò bo oòrùn, tí òjìjí rẹ lórí ilẹ̀ sì ṣàfẹ́ẹ̀rí díẹ̀ síi.","It's like when the sun is covered by a cloud, and your shadow on the ground is a little more desirable."
Wọ́n a kàn níran pé nǹkankan ò rí tààrà bó ṣe yẹ kó rí ni.,They just say that something is not right as it should be.
Ṣùgbọ́n àwọn kan máa ń mọ̀ abí? Wípé wọ́n ti jí díẹ̀ lára orúkọ wọn?,But do some people know? That they have stolen some of their names?
"Nígbà mìíì, wọn á ríi pé àwọn ò lè rántí orúkọ wọn mọ́.","Later, they will find that they cannot remember their names."
Wọn ò tilè ní mọ orúkọ wọn fún bó ṣe jẹ́.,They don't even know their names for what it is.
"Gbogbo èyí sì jẹ́ ìṣẹ́ mi, nítorípé èmi ni mo jí orúkọ wọn.","And all this is my pain, because I stole their names."
Ìgbà míì ẹ̀rí ọkàn mi máa ń wúwo. Mo mọ̀ pé oun tí mo ṣe ò dáa.,Sometimes my conscience is heavy. I know that what I did was not good.
Mo ká ọwọ́ mi gbera mo sì wo ìnàkí yìí.,I raised my hand and looked at this thing.
Orúkọ àwọn obìnrin tí o fẹ́ràn tàbí tí o fẹ́ ní àjọṣepọ̀ nìkan ni o máa ń jí àbí?,Do you only steal the names of women you like or want to have a relationship with?
Orúkọ èèyàn mélòó lo ti wá jí báyìí?,How many people's names have you come up with now?
Méjẹ ni gbogbo ẹ̀. Mo ti jí orúkọ obìnrin abílékọ méje.,Eat all of them. I have stolen the names of seven schoolgirls.
"Tọọ̀, báwo lo ṣe máa ń jí àwọn orúkọ yìí? Mo bèèrè.","So, how do you come up with these names? I asked."
Nípa agbára èrò ọkàn nìkan ni. Agbára ìtẹjúmọ́ ẹ̀mí tí kìí sọjú lásán.,Only by the power of the mind. The power of spiritual focus that is not just visible.
Mo máa ń nílò nǹkan tí wọ́n bá kọ orúkọ ẹni yẹn sí lórí.,I always need something with that person's name written on it.
Àwọn ohun ìdánimọ dára.,Identities are good.
Mo ní láti gbá irú nǹkan báyìí mú.,I have to handle things like this.
"Ní ìgbà púpọ̀, mo máa ń jí wọn ni. Jíjí ní ọ̀nà kan ṣoṣo.","Most of the time, I used to steal them. Being in one way."
Mo ní ọgbọ́n púpọ̀ láti yọ́ wọ inú u yàrá àwọn ènìyàn nígbà tí wọ́n bá jáde,I have a lot of wisdom to sneak into people's rooms when they go out
"Ẹ̀ẹ́ wá lo ohun yìí tó ní orúkọ obìnrin lórí ẹ̀, pẹ̀lú agbára ìtẹjúmọ́ ọ yín","Come and use this thing that has a woman's name on it, with the power of your concentration"
"Màá tẹjúmọ́ orúkọ tí a kọ yìí fún ìgbà pípẹ́, màá fi gbogbo èrò ara à mi sórí ẹ̀,","I will stare at this written name for a long time, I will put all my thoughts on it,"
Màá gba gbogbo orúkọ ẹni tí mo fẹ́ràn sínú,I will include all the names of my loved ones
"Gbogbo ìfẹ́ àti èròǹgbà mi, ti kò rí ibi lọ kó tó di ìgbà yìí","All my love and ideas, which had never gone before this time"
Ìyẹn ni pé kò sí nǹkankan ìfarakanra à kankan níbẹ̀?,"That is, there is no conflict there?"
Ìnàkí náà kan orí mọ́lẹ̀. Mo mọ̀ pé ìnàkí nìkan ni mí,The snake hit the ground. I know that I am alone
Mo máa ń mú orúkọ obìnrin tí mo fẹ́ran di ti ara mi,I always take the name of the woman I love as my own
"Mo gbà pé ìwà èyí bàjẹ́ díẹ̀, ṣùgbọ́n ó tún jẹ́ èyí tí ó mọ́ pẹ̀lú.","I agree that this behavior is a bit corrupt, but it is also a clean one."
Bíi atẹ́gùn fẹ́rẹ́fẹ́ tó ń kọjá lóríi pápá.,Like the breeze that passes over the field.
Bóyá a tiẹ̀ lè pe èyí ní irú ìfẹ́ ọkàn tó ga jù.,Perhaps we can even call this a higher kind of desire.
"Ó lè jẹ́ òhun ni ìfẹ́ ọkàn tó ga jù. Ṣùgbọ́n, ó tún jẹ́ àpẹẹrẹ àdánìkanwà tó le jù.","It may be what is the highest desire of the heart. But, it is also an example of extreme loneliness."
Ọ̀nà méjì ọ̀tọ̀tọ̀ tí a sopọ̀ tí a kò lè pín níyà,Two different ways that are connected and cannot be separated
"Ìtàkùrọ̀sọ wa parí síbẹ̀ yẹn, èmi àti ìnàkí yìí ń mu bíà wa nínú ìdákẹ́jẹ́.","Our conversation ended there, me and this guy drinking our beer in silence."
“Ǹjẹ́ ẹ ti jí orúkọ ẹnìkankan láìpẹ́ yìí?” Mo bèèrè.,"""Have you stolen someone's name lately?"" I asked."
"Ó gbá díè mú nínú àwọn irun tó dìde lápá ẹ̀, bíi pé ó fẹ́ ríi dájú pé ìnàkí lòun.","He grabbed some of the hairs that stood up on his arms, as if he wanted to make sure that he was safe."
"“Rárá, mi ò tíì jí orúkọ ẹnìkankan láìpẹ́ yìí.","""No, I have not stolen anyone's name recently."
"Nígbà tí mo wá sí ìlú yìí, mo pinnu láti dẹ́kun gbogbo irú ìwà pálapàla yẹn.","When I came to this city, I decided to stop all that kind of immorality."
"Mo dúró dèé láti sọ̀rọ̀ síi. Ìnàkí náà fọwọ́ pa etí ẹ̀, ó sì tẹ̀síwájú.",I waited to speak more. The boar touched his ear and continued.
"Nítoríi gbogbo èyí, mo ní láti wá ọ̀nà mìíràn láti gbé gbogbo ìfẹ́ inú mi yìí jáde.","Because of all this, I had to find another way to express all my passion."
"Ẹẹ̀ tiẹ̀ ni gbà mí gbọ́ rárá, ló yẹ kí n sọ. Ṣùgbọ́n mo bẹ̀rẹ̀ sí ní jí orúkọ àwọn obìnrin tí mo nífẹ̀ẹ́ wọn.","He even believed me at all, I should say. But I started stealing the names of the women I loved."
Mi ò mọ ìdí ẹ̀ ṣùgbọ́n ó dàbíi pé ẹ̀bùn kan wà tí a bí mi mọ́ tí mo máa ń lò.,I don't know why but it seems like there is a gift I was born with that I use.
"Tó bá wù mí, mo lè jí orúkọ ẹnìkan kí n múu di tèmi.","If I want, I can steal someone's name and make it my own."
Wọn ò ní sọ orúkọ wọn nù pátápátá.,They will not lose their name completely.
"Oun tí mo máa ń jí ni díẹ̀ lára orúkọ wọn, ẹ̀ka kékeré","The one I wake up with is some of their names, a small branch"
"Ṣùgbọ́n nígbà tí mo bá ṣe bẹ́ẹ̀, orúkọ náà á di yẹpẹrẹ, á fúyẹ́ ju bó ṣe wà tẹ́lẹ̀ lọ.","But when I do that, the name will become shorter, lighter than it was before."
"Ó dàbíi tí sánmọ̀ bá dáàbò bo oòrùn, tí òjìjíi rẹ lórí ilẹ̀ sì ṣàfẹ́ẹ̀rí díẹ̀ síi.","It's like when the sun is covered by a cloud, and your shadow on the ground is a little more attractive."
"Ó sì tún yàtọ̀ sí irú ẹni tó bá jẹ́, wọ́n lè má mọ̀ pé wọ́n ní àdánù yìí.","And it is also different to the type of person he is, they may not know that they have this loss."
Wọn a kàn níran pé nǹkankan ò rí tààrà bó ṣe yẹ kó rí ni.,They are just saying that something is not right as it should be.
Ṣùgbọ́n àwọn kan máa ń mọ̀ abí? Wípé wọ́n ti jí díẹ̀ lára orúkọ wọn?,But do some people know? That they have stolen some of their names?
"Nígbà míì, wọn á ríi pé àwọn ò lè rántí orúkọ wọn mọ́.","Sometimes, they will find that they cannot remember their names."
"Èyí á ni wọ́n lára, bí èyin náa ṣe mọ̀.","This will hurt them, as you know."
Wọn ò tilè ní mọ orúkọ wọn fún bó ṣe jẹ́.,They don't even know their names for what it is.
"Nígbà mìíì, ìyà ìdánimọ̀ ara ẹ̀ni á jẹ wọ́n.","At other times, they will suffer from self-identity."
"Gbogbo èyí sì jẹ́ ìṣe è mi, nítorí èmi ni mo jí orúkọ wọn.","And all this is my doing, because I stole their name."
Ìgbà míì ẹ̀rí ọkàn mi máa ń wúwo.,Sometimes my conscience is heavy.
Èyí bà mí nínú jẹ́ gidi.,This really upset me.
"Mo mọ̀ pé oun tí mo ṣe ò dáa, ṣùgbọ́n mi ò lè dáa dúró.","I know what I did was wrong, but I couldn't stop."
